Region,Mean_Diff,Median,Std_Dev,Num_Samples
0x20000000,1.1258680555555556,1.171875,0.6093763911130845,225
0x20000200,11.328125,0.0,21.266083921507967,225
0x20000400,22.41753472222222,0.0,40.98530566355997,225
0x20000600,38.19878472222222,38.0859375,34.78399655018835,225
0x20000800,62.22569444444444,41.9921875,37.01356424228883,225
0x20000a00,62.32465277777778,42.96875,36.961357858400895,225
0x20000c00,61.333333333333336,42.96875,37.48864010908944,225
0x20000e00,62.0,41.015625,36.859051670820236,225
0x20001000,62.59461805555556,43.75,36.776526069752855,225
0x20001200,62.29774305555556,42.1875,37.15033249277078,225
0x20001400,61.96527777777778,38.28125,37.23190735608923,225
0x20001600,62.05381944444444,37.6953125,37.161690216099686,225
0x20001800,62.42100694444444,40.4296875,36.948066430987545,225
0x20001a00,62.506076388888886,40.8203125,36.62871196388206,225
0x20001c00,62.442708333333336,40.625,36.786426082290454,225
0x20001e00,62.5859375,41.40625,36.776533581685044,225
0x20002000,61.404513888888886,37.890625,37.661494385020085,225
0x20002200,62.455729166666664,41.2109375,36.692061630150924,225
0x20002400,62.31163194444444,40.0390625,36.65193018027333,225
0x20002600,62.43663194444444,38.0859375,36.594622397778195,225
0x20002800,62.11024305555556,41.2109375,36.45598707888733,225
0x20002a00,62.76649305555556,41.796875,36.28385014651035,225
0x20002c00,62.314236111111114,41.2109375,36.71388092274941,225
0x20002e00,61.6484375,38.8671875,37.26046635880775,225
0x20003000,61.796875,38.671875,37.235302191549394,225
0x20003200,61.752604166666664,38.671875,37.36743711601986,225
0x20003400,61.921875,40.0390625,36.98856425211246,225
0x20003600,62.091145833333336,39.84375,36.99010290975512,225
0x20003800,62.23003472222222,42.1875,36.963745565470255,225
0x20003a00,62.118923611111114,40.8203125,36.90514019070543,225
0x20003c00,59.52430555555556,40.625,33.711721207038806,225
0x20003e00,37.876736111111114,25.390625,24.728874531393576,225
