Region,count,mean,std,min,25%,50%,75%,max
0x20000000,444.0,5.596044042088964,0.0784545682922745,5.2734375,5.5419921875,5.5908203125,5.6396484375,5.8349609375
0x20000200,443.0,14.205181733211061,1.3005588793483214,10.205078125,13.96484375,13.96484375,13.96484375,21.09375
0x20000400,440.0,31.391490589488637,2.8087646559682993,17.67578125,32.080078125,32.080078125,32.080078125,36.2060546875
0x20000600,438.0,39.497605415239725,1.4713704049155005,29.296875,39.013671875,39.5263671875,39.892578125,42.4560546875
0x20000800,437.0,47.168918496138446,2.575128179671903,42.4560546875,46.6796875,48.095703125,48.828125,50.7568359375
0x20000a00,437.0,46.87751403389588,2.709768822077573,41.8701171875,46.6552734375,47.802734375,48.779296875,50.7080078125
0x20000c00,437.0,47.69887684139016,1.8963320098915433,44.482421875,46.8505859375,48.33984375,49.0478515625,51.0009765625
0x20000e00,437.0,47.56138712099543,1.797541999035845,44.43359375,46.630859375,48.2666015625,48.828125,50.1220703125
0x20001000,437.0,46.80209301701945,2.840975429819897,41.650390625,45.8740234375,48.046875,48.8525390625,50.7080078125
0x20001200,437.0,47.32071027602975,2.6214888992537086,42.578125,47.021484375,48.4130859375,49.21875,51.123046875
0x20001400,437.0,46.940141411613276,2.859012031254255,41.6748046875,47.021484375,48.0224609375,48.9013671875,50.732421875
0x20001600,437.0,47.03193158252288,2.765619739785161,41.8701171875,47.0947265625,48.1201171875,48.73046875,50.9521484375
0x20001800,437.0,47.570102438501145,1.6745533957106449,44.7265625,46.630859375,47.998046875,48.7060546875,51.4404296875
0x20001a00,437.0,47.13288401029748,3.1150114729950413,41.30859375,46.5576171875,48.486328125,49.1455078125,51.1962890625
0x20001c00,437.0,46.892765839530895,2.991682333525619,41.2353515625,46.3134765625,48.1201171875,48.8037109375,50.439453125
0x20001e00,437.0,46.81723308781464,3.1824847372049465,40.7470703125,46.3623046875,48.14453125,48.92578125,50.7568359375
0x20002000,437.0,46.97997488200801,2.55896995316569,42.2119140625,46.58203125,48.0712890625,48.6083984375,49.8291015625
0x20002200,437.0,47.67485385082952,1.7630175325998139,44.5556640625,46.826171875,48.2177734375,48.9501953125,50.7568359375
0x20002400,437.0,47.48808906607552,2.1524550853284703,43.603515625,46.8017578125,48.3154296875,48.9990234375,50.9033203125
0x20002600,436.0,47.384391574684635,1.4982190247212124,45.0927734375,46.234130859375,47.6806640625,48.6572265625,50.244140625
0x20002800,437.0,46.04486600758009,4.532527224308724,37.3046875,46.8017578125,48.046875,48.73046875,50.537109375
0x20002a00,437.0,46.837512961241416,3.4705715035291838,40.0390625,46.8505859375,48.193359375,49.12109375,50.4638671875
0x20002c00,437.0,46.98628790045767,2.6028394046013585,42.1630859375,46.8017578125,47.8271484375,48.7060546875,50.68359375
0x20002e00,437.0,45.958830180921055,4.642872137379299,36.9384765625,46.3623046875,48.2177734375,48.828125,50.0
0x20003000,437.0,46.92785057923341,3.185357374294507,40.9423828125,47.0947265625,48.193359375,49.0234375,50.8544921875
0x20003200,437.0,46.747566415188786,3.633483983983672,39.7705078125,46.7041015625,48.2421875,48.9990234375,50.7568359375
0x20003400,437.0,46.15749472611556,4.258862432879436,37.939453125,46.6796875,47.9736328125,48.73046875,51.416015625
0x20003600,436.0,46.77521591886468,3.29924334546299,40.5029296875,46.978759765625,48.1201171875,48.8037109375,50.68359375
0x20003800,436.0,46.92220425387041,3.0670977766892262,41.2109375,46.722412109375,48.14453125,49.072265625,50.68359375
0x20003a00,434.0,46.35504797307028,3.6171491950606662,39.501953125,46.435546875,47.8271484375,48.6083984375,51.0986328125
0x20003c00,434.0,43.95802581365207,3.005369074606611,37.158203125,43.438720703125,45.21484375,45.849609375,47.607421875
0x20003e00,428.0,24.289083035192757,1.842942935356269,21.533203125,23.14453125,23.73046875,24.4873046875,30.0048828125
